island,word,f0_20,f0_50,f0_80,duration,intensity
Atiu,ava,128.5915614,127.0908009,127.4540488,0.08,54.08201907
Atiu,ava,160.6463967,157.4396747,158.282032,0.07,58.06060793
Atiu,ava,131.7166989,134.1155395,140.2238473,0.14,48.40480522
Atiu,ava,141.4205323,141.8125367,145.0028496,0.11,54.18315065
Atiu,ava,119.6032629,118.2317918,111.5702251,0.05,49.5922444
Atiu,ava,135.8706227,142.7506414,136.9814201,0.13,53.07334692
Atiu,ava,110.208328,115.0860597,118.0947771,0.1,52.79598089
Atiu,ava,121.8850562,126.5011724,130.8498863,0.1,46.52054778
Atiu,ava,133.1719314,132.1615689,128.768765,0.12,50.02860812
Atiu,ava,200.229984,203.8686387,204.3492508,0.11,56.41402701
Atiu,avatea,120.0276184,120.2638833,125.8346534,0.11,53.85199212
Atiu,avatea,148.0584899,148.2406645,147.8626697,0.07,61.05463281
Atiu,avatea,125.595395,123.0549662,127.8549146,0.07,41.99715681
Atiu,avatea,163.6366459,163.2081881,162.1738987,0.03,63.837989
Atiu,iva,118.2839594,124.3454994,130.7238007,0.08,52.70838546
Atiu,iva,134.7309845,134.0646947,136.6205306,0.09,54.71159945
Atiu,iva,124.4744452,131.106991,134.5865582,0.12,54.05825096
Atiu,iva,108.0592278,114.3690956,117.6288292,0.09,50.24981915
Atiu,kauvai,131.8946046,130.9104174,134.2287647,0.1,55.34045788
Atiu,kauvai,131.9873252,131.2030288,136.3035053,0.09,59.44630241
Atiu,kavamani,146.5663545,148.820738,153.9322451,0.03,69.38553536
Atiu,kave,167.0962518,169.8547228,172.2598026,0.03,65.96487054
Atiu,manukavamani,152.0728453,153.8013933,156.5530574,0.03,72.29148639
Atiu,rava,118.4489473,119.1420841,119.6035734,0.03,59.5495455
Atiu,rava,174.4348872,176.8993604,179.0808541,0.05,61.56894963
Atiu,rave,145.3764094,145.8743797,146.8070523,0.04,60.27893913
Atiu,rave,153.1907279,151.7487576,154.3126065,0.07,52.00795599
Atiu,rave,179.2487305,189.7724268,213.086451,0.08,56.0959387
Atiu,raveꞌanga,147.5712633,146.8588546,149.3232963,0.06,54.22366349
Atiu,rāvenga,191.3897718,191.8717612,192.6856469,0.03,70.10907013
Atiu,tāviri,151.7674654,150.2858319,148.2650297,0.03,63.74718529
Atiu,vai,121.5961738,120.6168177,120.1727331,0.03,55.71858246
Atiu,vai,108.3814154,120.53576,124.7615342,0.05,55.08111247
Atiu,vai,122.9493959,120.8971188,121.4053719,0.07,59.35320871
Atiu,vai,168.4580573,173.2701827,178.8340105,0.07,61.55405126
Atiu,vai,119.3475413,119.0523943,122.8891127,0.06,55.70843761
Atiu,vai,119.3475413,119.0523943,122.8891127,0.06,55.70843761
Atiu,vai,154.2823473,156.9750296,159.2118063,0.04,58.01399383
Atiu,vai,133.9555698,132.7876805,132.3130051,0.03,62.542677
Atiu,vai,179.2147362,180.0257423,181.3197494,0.03,61.54716585
Atiu,vai,121.0516371,120.714175,120.8318765,0.03,58.78955738
Atiu,vai,151.5247958,154.8422643,160.3239067,0.06,54.04902347
Atiu,vai,146.6899866,146.8613539,150.5220576,0.05,57.9980517
Atiu,vai,147.8939346,152.2342143,158.1877629,0.06,65.32404153
Atiu,vai,122.4996705,117.5543157,116.9083404,0.07,58.33471581
Atiu,vai,110.0545916,112.1314289,113.4926132,0.08,55.66064552
Atiu,vai,137.0523224,136.746695,138.3351583,0.04,59.30760001
Atiu,vai,127.5931452,128.5876206,131.0239794,0.06,57.30561601
Atiu,vai,139.1131768,140.5439913,143.8934182,0.09,59.67699383
Atiu,vai,117.2977889,117.2135823,123.9542174,0.08,52.68040171
Atiu,vai,171.1604669,172.8308628,171.7420833,0.05,69.56381928
Atiu,vai,183.1216098,189.8671754,197.676973,0.04,60.2307468
Atiu,vai,184.8733024,188.0227895,191.6965679,0.05,54.64054625
Atiu,vai,119.8906408,119.5297163,121.5506155,0.07,53.88888753
Atiu,vai,172.6753982,178.748869,192.1849681,0.09,54.58779583
Atiu,vai,134.7470094,134.2614721,136.2025616,0.04,57.76867236
Atiu,vai,128.8204686,129.6852025,132.7966596,0.07,55.69368796
Atiu,vai,140.239472,140.6741111,142.973877,0.05,57.07587327
Atiu,vai,149.4205133,148.3552355,147.3981678,0.03,59.72923647
Atiu,vai,141.7498854,149.0276457,162.1262965,0.08,61.60002231
Atiu,vai,114.4096268,121.3587604,130.5635783,0.07,60.16927206
Atiu,vai,123.1522574,125.0487396,135.0117132,0.06,59.36685356
Atiu,vai,122.6478885,124.4151001,124.4810943,0.05,57.90010626
Atiu,vai,105.2892199,108.4100927,110.7072815,0.08,52.83975178
Atiu,vai,132.4675088,142.023111,153.4474388,0.1,54.83613256
Atiu,vai,140.9410197,142.6653253,145.544312,0.03,61.22541998
Atiu,vai,141.3667827,145.6234953,151.3593254,0.03,56.20679319
Atiu,vai,154.4833158,159.0158766,164.3548516,0.04,59.67178316
Atiu,vai,146.1817,148.2778565,156.6522854,0.08,58.8949519
Atiu,vai,135.8634393,135.6223394,135.3589793,0.03,59.41805437
Atiu,vai,179.7662217,181.7689753,183.9832065,0.03,61.47183963
Atiu,vai,146.6224976,147.7929191,150.5847526,0.04,60.31866462
Atiu,vaipuke,138.7764153,139.4387778,143.8114639,0.04,66.2631055
Atiu,varaoa,138.7626274,135.0619693,132.6057695,0.03,62.18599287
Atiu,vari,116.1345228,123.1471312,131.2750012,0.05,46.30112599
Atiu,vari,126.3199411,128.242259,131.5581761,0.03,55.83931214
Atiu,varu,123.0666918,126.5064454,131.477063,0.08,51.62743739
Atiu,vaꞌine,144.0680995,145.0043738,144.69175,0.03,57.78194592
Atiu,vaꞌine,116.6733951,112.5395067,113.1171992,0.07,49.92166062
Atiu,vaꞌine,188.4987684,189.7326132,190.0931037,0.03,65.12885883
Atiu,vaꞌo,127.8265482,126.9820295,126.3797241,0.03,59.65632485
Atiu,vaꞌo,177.5329212,178.4605599,178.8520518,0.04,63.12792212
Atiu,vāvia,142.4876794,151.8107855,150.1409745,0.07,72.63346733
Atiu,vāvia,151.8614115,157.3355461,159.3586098,0.12,65.94513106
Atiu,vāvia,157.4977716,158.5430404,154.0377238,0.07,64.63366964
Atiu,vāvia,150.7027864,148.8692506,141.6171457,0.11,64.10927134
Atiu,vāvia,194.9382285,201.2710096,210.6366749,0.13,67.91202382
Atiu,vāvia,221.1578486,231.971856,243.0134687,0.11,64.81402582
Atiu,vāvia,209.3166237,211.906936,214.8879308,0.05,69.61780462
Atiu,vāvia,209.6219599,210.5143696,211.4272636,0.03,72.15442072
Atiu,vāvia,138.292546,138.031526,135.9588524,0.06,62.29483289
Atiu,vāvia,129.6457033,130.9194261,130.0604253,0.1,57.46179617
Atiu,vī,140.5540581,149.425483,167.8182668,0.1,51.52841099
Atiu,vī,111.2448479,116.6304411,128.1732955,0.11,52.9732192
Atiu,āvota,119.3195619,124.3542617,131.8394873,0.06,49.88244971
Atiu,ꞌakavā,128.9598026,134.4331227,144.6864028,0.19,57.8520365
Atiu,ꞌakavā,116.5308543,123.237413,125.6065206,0.14,53.27319813
Atiu,ꞌakavā,128.9598026,134.4331227,144.6864028,0.19,57.8520365
Atiu,ꞌakavā,116.5308543,123.237413,125.6065206,0.14,53.27319813
Atiu,ꞌakavā,109.8767943,107.7380018,105.1692573,0.04,50.70642825
Atiu,ꞌakavā,109.8767943,107.7380018,105.1692573,0.04,50.70642825
Atiu,ꞌakaꞌārāveiꞌanga,131.5337519,123.6036058,118.9419863,0.12,56.44644872
Atiu,ꞌārāvei,124.4489593,127.0576533,130.0383574,0.07,48.36011555
Atiu,ꞌārāvei,124.6324998,124.6827481,126.5845713,0.06,52.69286393
Atiu,ꞌārāvei,131.0148685,131.6703988,139.8389671,0.11,49.55884501
Atiu,ꞌārāvei,133.3284618,133.6134427,137.5193782,0.1,54.02394025
Mauke,ava,185.2733275,186.1659552,187.3166645,0.04,68.01278454
Mauke,ava,211.4210233,218.4407187,231.2317298,0.11,55.01330192
Mauke,ava,178.6179127,181.9645768,191.2362011,0.09,55.48973462
Mauke,ava,164.5481846,167.2372286,174.4208435,0.09,58.37618275
Mauke,ava,148.3317425,149.2642362,155.913645,0.08,51.22945828
Mauke,ava,158.9234077,153.962427,156.646686,0.09,54.11190334
Mauke,ava,153.2009178,150.9943109,147.7243882,0.03,83.58147885
Mauke,ava,155.7065988,157.7148786,159.5467956,0.03,78.51018074
Mauke,avaava,92.50674214,97.23923117,100.6175125,0.03,58.78219286
Mauke,avaava,179.4806776,175.1050425,176.3407266,0.11,70.57135788
Mauke,avaava,164.5360177,163.9768953,165.2485849,0.11,66.06793705
Mauke,avaavaꞌia,141.9898105,141.7334312,142.5312331,0.06,67.22457723
Mauke,avaavaꞌia,136.1776756,135.8406994,137.000917,0.06,66.00352248
Mauke,avaiki,216.0814361,217.5247379,219.338672,0.04,53.43037001
Mauke,avaiki,219.5597206,222.0485433,221.1304536,0.08,53.18746081
Mauke,avanā,179.3092419,177.1422746,175.8766883,0.08,54.71758946
Mauke,avanā,168.3370559,170.4506372,170.8435762,0.08,55.45230074
Mauke,evangeria,148.6759953,149.7281467,153.6239086,0.08,45.56913546
Mauke,evenheria,167.9802281,169.3679584,170.7556886,0.01,77.26849915
Mauke,improveꞌia,173.7703336,175.9805259,175.2651582,0.03,70.8633727
Mauke,iva,191.6238289,192.2859594,192.3431249,0.03,54.43250465
Mauke,iva,107.3614769,108.1270842,108.6616892,0.03,68.19363978
Mauke,iva,194.989738,198.0474814,202.2205662,0.03,68.46374721
Mauke,iva,121.054764,123.9374172,126.1025197,0.03,74.37895646
Mauke,iva,180.1174379,182.5377093,184.9942095,0.01,79.36659898
Mauke,kaikava,196.9058574,179.1428064,183.4865082,0.07,58.10233704
Mauke,kava,192.3977734,195.373631,201.7561681,0.09,64.41665549
Mauke,kava,162.1345613,160.5223883,161.3278495,0.07,46.48530533
Mauke,kava,162.1345613,160.5223883,161.3278495,0.07,46.48530533
Mauke,kava,177.9058669,150.943203,145.0319004,0.06,49.17340301
Mauke,kava,186.3698655,164.1911622,152.8837072,0.06,51.1268976
Mauke,kava,94.89242579,95.25270806,95.29055014,0.03,72.01628351
Mauke,kavamani,141.5777488,143.0510789,144.8401963,0.03,68.14709795
Mauke,kavamani,213.1797428,214.2603057,221.8051021,0.05,55.60069208
Mauke,kavamani,225.4222282,229.4098167,236.0302043,0.03,58.65520903
Mauke,kaveinga,158.2307656,157.7704012,159.0764233,0.04,60.37203043
Mauke,kaveinga,192.6901377,197.7730169,211.3718331,0.06,59.35134578
Mauke,kaveinga,152.36247,147.6539242,158.5405539,0.08,53.66602107
Mauke,kaveinga,213.6319723,209.4251508,215.71204410000001,0.08,51.13259591
Mauke,kivi,249.1870328,254.2607851,258.3964413,0.06,72.27929603
Mauke,navenave,140.6388868,141.5867014,145.0958161,0.06,65.01625652
Mauke,navenave,167.081669,89.98980562,113.111539,0.06,58.7924096
Mauke,nēneva,193.9432139,176.7693681,166.6210585,0.07,55.65171031
Mauke,ovi,158.4386186,149.3352809,147.9930465,0.1,49.48487318
Mauke,ovi,247.3643595,222.3787959,204.5006843,0.08,56.15759316
Mauke,ovi,168.1202863,157.7735783,150.3562109,0.09,48.03171616
Mauke,rava,178.1510762,176.3885252,174.528934,0.04,75.3157848
Mauke,rava,183.6084616,184.6497845,189.4235712,0.06,75.87600672
Mauke,rava,177.4581568,178.0216853,180.0296727,0.04,68.48481756
Mauke,rava,173.1933524,177.4197958,181.6532087,0.07,47.66880798
Mauke,rava,147.2915182,151.3713832,158.1300644,0.08,58.77136864
Mauke,rava,196.1467774,196.8128603,203.743015,0.11,55.55934389
Mauke,rava,175.8435811,174.4372832,179.5594708,0.08,60.73540398
Mauke,rava,230.2898818,225.8616554,227.8536061,0.11,58.6441929
Mauke,rava,171.9834617,167.6426211,160.1543766,0.09,55.52568332
Mauke,rava,165.657164,158.0807766,156.2900578,0.09,52.97014783
Mauke,rava,214.2000385,211.6087595,217.0439792,0.1,61.50902036
Mauke,rava,256.8511541,248.2854993,238.4007035,0.08,61.76508646
Mauke,rava,184.0281051,189.20991,196.1132537,0.1,56.12072852
Mauke,rava,197.3190073,198.4023355,203.3896487,0.09,60.38191386
Mauke,rava,93.71143526,91.06752485,90.75123547,0.08,68.43472122
Mauke,rava,82.58829736,82.84626038,83.35390169,0.1,67.00263354
Mauke,rava,268.4733714,276.6083356,289.9793293,0.07,52.33032022
Mauke,rava,215.1300614,215.5446466,225.1837125,0.06,52.85597919
Mauke,rava,138.1248186,148.6538077,154.068342,0.1,47.08637794
Mauke,rava,195.2880314,194.7366515,208.2370689,0.06,52.47874663
Mauke,rava,139.4727411,138.7837214,141.6294738,0.08,50.62487813
Mauke,rava,170.1476434,176.5328574,192.044263,0.1,48.96461671
Mauke,rava,253.8122377,242.9686844,231.4887305,0.03,63.49284861
Mauke,ravaꞌia,181.5882112,179.8635322,183.5577351,0.09,49.86316336
Mauke,ravaꞌia,147.530726,154.3388146,160.5067007,0.1,44.30220858
Mauke,rave,187.9570489,189.194034,190.7070877,0.05,69.39365361
Mauke,rave,183.5227887,185.6435982,188.6248842,0.05,74.03376784
Mauke,rave,155.6618501,152.845785,157.1979086,0.07,58.43320031
Mauke,rave,144.1449199,144.8645715,146.7781859,0.06,65.83451081
Mauke,rave,126.7766178,127.1707114,127.6285564,0.01,68.77563755
Mauke,rave,148.5026825,144.3357392,144.9454232,0.06,64.22086807
Mauke,rave,157.8517549,160.8795781,164.4011596,0.05,68.72939982
Mauke,rave,169.5544357,168.7492194,169.8112273,0.06,74.32010724
Mauke,rave,147.3684133,145.4566624,146.4089842,0.05,67.85252199
Mauke,rave,200.5693818,203.8721683,213.9498396,0.06,62.88876155
Mauke,rave,154.6219,155.7159783,159.102796,0.06,67.27443629
Mauke,rave,132.3264251,161.5301071,157.9660998,0.06,61.5360533
Mauke,rave,148.8826134,151.1008402,157.5812236,0.04,63.92271783
Mauke,rave,260.2462004,257.3552797,262.6562128,0.07,62.36345086
Mauke,rave,199.2931909,207.5024021,212.1728765,0.05,54.13384992
Mauke,rave,140.3051606,132.7849123,127.1420741,0.06,75.19061229
Mauke,rave,132.7653705,133.1152345,133.1020317,0.03,74.00433678
Mauke,rave,98.91391884,97.81062729,98.64929795,0.09,68.30422363
Mauke,rave,149.1859522,150.8892432,153.407143,0.09,75.13750064
Mauke,rave,203.3037117,202.1716545,223.8620955,0.08,65.29190177
Mauke,rave,101.4257553,101.8180313,101.6939099,0.03,70.00746303
Mauke,rave,125.898202,128.6218019,131.9577787,0.08,73.70354608
Mauke,rave,131.300251,134.5209452,136.8316592,0.05,77.75019678
Mauke,rave,166.4845196,172.0924995,181.0779905,0.08,54.49650738
Mauke,raveꞌanga,154.1411557,147.1635815,155.0680988,0.07,51.034406
Mauke,raveꞌia,147.4959769,150.5171194,152.8984515,0.06,68.53841341
Mauke,raveꞌia,145.9501708,143.7178401,147.1594759,0.07,62.23447446
Mauke,raveꞌia,158.9104014,158.0303064,161.4448095,0.04,66.94269864
Mauke,raveꞌia,149.903398,149.8977627,149.71121779999999,0.05,65.3833739
Mauke,raveꞌia,169.1210086,168.6446765,166.0709564,0.07,66.94056584
Mauke,raveꞌia,140.2453972,142.7888344,145.6347279,0.06,66.52777745
Mauke,raveꞌia,178.5163985,179.2012251,179.8186297,0.07,71.39655362
Mauke,raveꞌia,172.4273886,171.1104192,175.0281664,0.06,66.79227161
Mauke,raveꞌia,244.6583909,244.3081714,247.1548035,0.04,60.60605482
Mauke,raveꞌia,124.4476685,123.4416977,119.6116012,0.04,71.90801075
Mauke,raveꞌia,144.0088492,154.1627553,151.8733052,0.08,74.69929934
Mauke,reva,140.3221742,134.737322,131.851001,0.04,69.01074226
Mauke,reva,121.9311846,125.168545,134.634271,0.08,46.32242281
Mauke,ruatakiva,182.7618204,156.9089808,153.2454363,0.1,55.69753962
Mauke,tuaꞌivi,139.5013323,135.2670996,134.8125965,0.03,47.43737789
Mauke,tuāꞌivi,149.1171675,150.7840091,166.5520756,0.07,53.8846102
Mauke,tuāꞌivi,157.4461392,150.8489974,154.5661352,0.09,55.63070695
Mauke,tuāꞌivi,143.6535607,142.2788794,140.4011331,0.08,50.26553315
Mauke,tāreva,237.6046279,238.3324116,237.172801,0.03,81.36608599
Mauke,tāviriviri,175.1174345,175.9487167,177.5554244,0.03,76.396285
Mauke,tāviriviri,174.4379536,170.8537063,173.8916622,0.08,69.00580188
Mauke,tīvaivai,179.1822737,174.9796538,182.1078894,0.14,64.55988531
Mauke,tīvaivai,157.2432284,138.7920284,127.10735,0.14,50.76318348
Mauke,tīvī,81.15889576,80.69193304,81.27862741,0.14,73.95688632
Mauke,tīvī,204.5861288,205.7013614,210.6727741,0.06,73.3514347
Mauke,tūava,215.8783493,275.6406063,261.9694088,0.08,43.80854883
Mauke,tūava,215.8783493,275.6406063,261.9694088,0.08,43.80854883
Mauke,tūava,230.2298599,222.2550683,204.9761592,0.06,57.32972469
Mauke,tūava,230.2298599,222.2550683,204.9761592,0.06,57.32972469
Mauke,vaerua,149.1508685,155.6602883,167.6400533,0.05,57.58499052
Mauke,vaerua,156.0218098,169.7806547,177.5540732,0.04,61.87538976
Mauke,vai,226.1275036,233.0005735,241.7653746,0.06,69.73564094
Mauke,vai,143.7525829,150.7205387,169.5831901,0.08,67.89555639
Mauke,vai,130.0314408,142.3882054,155.6485485,0.11,63.32646416
Mauke,vai,196.849752,201.6476295,229.0787002,0.07,41.24224135
Mauke,vai,173.7194027,189.1606294,210.8442269,0.09,49.98361971
Mauke,vai,173.7194027,189.1606294,210.8442269,0.09,49.98361971
Mauke,vai,148.1670642,155.569814,180.0478265,0.12,52.71033444
Mauke,vai,158.5719176,171.2787981,202.8969579,0.12,51.32555961
Mauke,vai,156.1560775,157.3111081,167.0979923,0.11,53.50777266
Mauke,vai,161.5656867,175.1790082,202.483295,0.14,50.4074577
Mauke,vai,187.5216807,204.474842,229.0403288,0.08,57.52693785
Mauke,vai,150.4652111,149.7324871,163.6164254,0.12,50.1872062
Mauke,vai,153.0097991,154.342517,169.7080958,0.11,52.51034474
Mauke,vai,209.2323947,207.1467408,215.8339476,0.11,56.06337557
Mauke,vai,101.1744118,103.6313117,105.4051649,0.06,72.0053775
Mauke,vai,102.5932347,104.5121583,104.2004296,0.05,72.16482648
Mauke,vai,127.761441,128.4331588,129.2316919,0.03,75.60944051
Mauke,vai,221.4471572,227.7553064,228.7566397,0.03,59.12399461
Mauke,vairanga,179.0108727,183.1068493,194.682644,0.06,51.31227839
Mauke,vairanga,147.6292673,157.3848844,173.4821,0.12,45.71702717
Mauke,vairākau,137.842439,145.8866125,151.863418,0.09,61.94583175
Mauke,vairākau,137.6761487,147.8416133,161.4220323,0.05,50.12309287
Mauke,vaito,216.9936348,219.2044956,222.9276706,0.03,70.4001664
Mauke,vaivai,146.3796912,143.5419103,160.2176266,0.09,62.2302894
Mauke,vaivai,168.4888071,154.6348052,152.9296871,0.09,64.54481035
Mauke,vaiꞌi,139.9508245,144.9643881,157.9592167,0.08,59.04318948
Mauke,vaiꞌī,146.3322746,151.6265213,163.9464232,0.12,47.19125374
Mauke,vaka,172.7651084,186.8870362,206.154831,0.13,52.48959634
Mauke,vaka,151.5922231,163.3950051,192.1302625,0.11,50.7924349
Mauke,vaka,173.0535145,175.7828689,184.5268907,0.11,51.04967252
Mauke,vaka,167.623214,190.2181101,217.8946182,0.08,54.97290171
Mauke,vaka,214.3180805,201.4412865,205.7069704,0.08,54.6870752
Mauke,vaka,169.7680067,167.5536777,168.199525,0.07,51.66256109
Mauke,vaka,183.4697026,208.7412978,237.2457889,0.09,55.34994795
Mauke,vaka,173.2599066,180.1781331,191.2247949,0.09,53.38892214
Mauke,vaka,209.1919874,207.5223512,217.935658,0.09,52.30199109
Mauke,vaka,161.4219599,169.2744028,193.2394378,0.08,53.0194569
Mauke,vaka,246.6538956,242.3779984,253.3271142,0.08,54.33207297
Mauke,vaka,172.0285859,179.6395133,188.7750686,0.09,52.17341605
Mauke,vaka,229.103056,222.400082,230.2826462,0.09,57.42978495
Mauke,vaka,188.3804948,194.6705604,214.5828342,0.1,57.77111877
Mauke,vaka,178.6953802,195.8621159,204.3891031,0.1,50.95711786
Mauke,vaka,158.3939548,167.0457065,181.405219,0.08,52.76864601
Mauke,vaka,151.5066835,167.5590687,196.1744114,0.09,49.76448466
Mauke,vaka,159.562398,178.2078704,207.4672968,0.11,51.54672565
Mauke,vaka,159.3501232,156.1164129,152.4813613,0.09,51.19709187
Mauke,vaka,148.996458,159.3051034,174.4472181,0.08,51.7652575
Mauke,vaka,147.3006716,157.647941,188.8520988,0.1,51.71750963
Mauke,vaka,151.0631837,157.0122475,161.5287843,0.1,50.10438569
Mauke,vaka,152.2224688,161.838888,183.4772669,0.1,52.37849445
Mauke,vaka,148.4067414,152.9411941,172.4763186,0.09,50.3362535
Mauke,vaka,167.6589093,188.5824699,221.5754294,0.1,53.00734636
Mauke,vaka,219.9113625,223.8298554,237.4104708,0.09,55.17023943
Mauke,vaka,161.6984077,177.1567622,199.068596,0.11,53.96155729
Mauke,vaka,154.49329,167.8640835,194.7382053,0.11,52.97154779
Mauke,vaka,171.3812802,191.2041436,216.7245277,0.07,53.33867117
Mauke,vaka,163.4346034,181.4354534,211.8470936,0.1,52.42027081
Mauke,vaka,184.8603146,202.1851758,233.9345191,0.09,54.12813497
Mauke,vaka,151.4560165,156.9742117,166.0591096,0.09,49.05598582
Mauke,vaka,206.2929369,195.7231858,213.1850555,0.09,54.94938091
Mauke,vaka,165.1862571,163.9207998,189.6865095,0.09,54.70540611
Mauke,vaka,158.9065891,170.913459,198.9247265,0.11,52.8260619
Mauke,vaka,161.2968594,171.4325233,197.8525942,0.11,51.89035288
Mauke,vaka,168.6039386,167.5052163,187.237262,0.08,51.65488272
Mauke,vaka,229.2846179,232.1853095,253.2245744,0.09,62.64998103
Mauke,vaka,185.2970559,198.9123162,236.5181973,0.09,58.34340283
Mauke,vaka,166.9467789,165.7924781,172.3173568,0.06,56.0843077
Mauke,vaka,162.8892614,154.7316448,175.2900843,0.1,55.90628556
Mauke,vaka,151.5251902,156.6462222,195.2146949,0.1,52.34238538
Mauke,vaka,172.2611408,175.748151,177.7130453,0.06,60.05675027
Mauke,vaka,183.5454847,195.0944708,212.7847994,0.08,59.67558661
Mauke,vaka,237.7678,243.4235948,254.9624394,0.05,62.22699158
Mauke,vaka,178.9158087,179.990236,198.3476427,0.08,57.69070324
Mauke,vaka,151.0656708,159.4669215,192.3230969,0.1,51.71848284
Mauke,vaka,184.1943573,187.0386367,198.9509895,0.08,55.66673869
Mauke,vaka,205.7773336,211.5119871,223.5786117,0.07,60.77513541
Mauke,vaka,164.8401658,168.8021088,183.7257849,0.08,55.91650917
Mauke,vaka,156.7703596,157.9367665,162.7130479,0.1,49.92780151
Mauke,vaka,146.2447127,142.1482822,163.9273151,0.09,48.45970613
Mauke,vaka,164.0580377,173.5745228,185.5714465,0.06,56.4142241
Mauke,vaka,197.8113692,208.1161691,217.7280032,0.06,61.59675299
Mauke,vaka,156.9567155,162.5512635,178.3768438,0.07,55.55140085
Mauke,vaka,150.2841229,147.9244648,166.7433884,0.09,49.99868
Mauke,vaka,156.6206605,159.7150595,172.0363312,0.09,53.36299093
Mauke,vaka,172.4134916,181.4923409,194.0156172,0.07,55.52647639
Mauke,vaka,146.7577482,153.748224,165.6660048,0.07,51.80105987
Mauke,vaka,133.5680675,135.1516162,138.4930894,0.03,75.39618743
Mauke,vaka,144.664087,154.6920968,163.6756425,0.03,74.20290227
Mauke,vaka,219.2592774,216.9623982,213.2800779,0.03,66.69747867
Mauke,vaka,96.99370769,95.7926354,93.19618375,0.05,72.40223104
Mauke,vaka,162.9276703,170.5707263,176.5818527,0.03,72.64823586
Mauke,vaka,147.3454198,159.2888185,173.8415603,0.04,73.74370175
Mauke,vaka,160.356726,172.2816444,179.9284606,0.04,75.31192643
Mauke,vaka,123.8236514,123.6291652,124.0850165,0.03,66.02797524
Mauke,vaka,146.1171725,167.5985275,189.9030538,0.09,71.98399696
Mauke,vaka,111.4224791,124.8294399,130.7541019,0.11,69.6565722
Mauke,vaka,161.2929869,173.5786294,184.4468451,0.05,53.76120735
Mauke,varaini,234.8820479,236.9619978,247.5093028,0.05,64.45352881
Mauke,varaire,167.6134907,174.3446535,185.583118,0.05,62.4894761
Mauke,varani,136.0522108,137.4560436,141.2230875,0.03,62.99451355
Mauke,varani,150.0585735,160.1121195,178.4361131,0.06,62.60097377
Mauke,varani,227.3651534,235.5582778,245.0184616,0.06,62.55899677
Mauke,varani,142.3996034,142.4297184,150.3182471,0.06,58.99536965
Mauke,varani,192.7154494,195.5308992,207.5040991,0.06,64.61520818
Mauke,varani,157.5560849,160.446179,167.6748859,0.03,54.23574946
Mauke,vari,222.9769445,226.8108681,261.5233406,0.04,45.41960826
Mauke,varu,152.7443289,150.4722563,162.230783,0.1,64.48921147
Mauke,varāoa,144.1810198,150.1980423,162.5040304,0.08,45.32548504
Mauke,vave,188.199121,183.9761466,195.9094894,0.07,68.34441178
